,precision,recall
0,0.3048780487804878,1.0
1,0.3232104121475054,0.9933333333333333
2,0.3333333333333333,0.9933333333333333
3,0.3425287356321839,0.9933333333333333
4,0.3556085918854415,0.9933333333333333
5,0.369727047146402,0.9933333333333333
6,0.3850129198966408,0.9933333333333333
7,0.3925729442970822,0.9866666666666667
8,0.40273972602739727,0.98
9,0.4101123595505618,0.9733333333333334
10,0.4186046511627907,0.96
11,0.4247787610619469,0.96
12,0.4454828660436137,0.9533333333333334
13,0.4583333333333333,0.9533333333333334
14,0.4735099337748344,0.9533333333333334
15,0.4812286689419795,0.94
16,0.5,0.9333333333333333
17,0.5186567164179104,0.9266666666666666
18,0.5287356321839081,0.92
19,0.53515625,0.9133333333333333
20,0.548,0.9133333333333333
21,0.556910569105691,0.9133333333333333
22,0.5666666666666667,0.9066666666666666
23,0.5714285714285714,0.9066666666666666
24,0.5738396624472574,0.9066666666666666
25,0.591304347826087,0.9066666666666666
26,0.6053811659192825,0.9
27,0.6232558139534884,0.8933333333333333
28,0.6244131455399061,0.8866666666666667
29,0.6341463414634146,0.8666666666666667
30,0.6386138613861386,0.86
31,0.654639175257732,0.8466666666666667
32,0.656084656084656,0.8266666666666667
33,0.6703910614525139,0.8
34,0.6882352941176471,0.78
35,0.6993865030674846,0.76
36,0.7032258064516129,0.7266666666666667
37,0.7142857142857143,0.7
38,0.7482014388489209,0.6933333333333334
39,0.7426470588235294,0.6733333333333333
40,0.7480916030534351,0.6533333333333333
41,0.752,0.6266666666666667
42,0.7603305785123967,0.6133333333333333
43,0.7739130434782608,0.5933333333333334
44,0.7837837837837838,0.58
45,0.8037383177570093,0.5733333333333334
46,0.8058252427184466,0.5533333333333333
47,0.8137254901960784,0.5533333333333333
48,0.82,0.5466666666666666
49,0.8333333333333334,0.5333333333333333
50,0.8279569892473119,0.5133333333333333
51,0.8369565217391305,0.5133333333333333
52,0.8314606741573034,0.49333333333333335
53,0.8275862068965517,0.48
54,0.8292682926829268,0.4533333333333333
55,0.8441558441558441,0.43333333333333335
56,0.8513513513513513,0.42
57,0.8493150684931506,0.41333333333333333
58,0.8450704225352113,0.4
59,0.8484848484848485,0.37333333333333335
60,0.8852459016393442,0.36
61,0.8983050847457628,0.35333333333333333
62,0.896551724137931,0.3466666666666667
63,0.9090909090909091,0.3333333333333333
64,0.9074074074074074,0.32666666666666666
65,0.9245283018867925,0.32666666666666666
66,0.9230769230769231,0.32
67,0.9183673469387755,0.3
68,0.9375,0.3
69,0.9333333333333333,0.28
70,0.9302325581395349,0.26666666666666666
71,0.926829268292683,0.25333333333333335
72,0.9230769230769231,0.24
73,0.9210526315789473,0.23333333333333334
74,0.9142857142857143,0.21333333333333335
75,0.9375,0.2
76,0.9354838709677419,0.19333333333333333
77,1.0,0.18
78,1.0,0.17333333333333334
79,1.0,0.16666666666666666
80,1.0,0.16
81,1.0,0.14
82,1.0,0.12
83,1.0,0.10666666666666667
84,1.0,0.1
85,1.0,0.08666666666666667
86,1.0,0.07333333333333333
87,1.0,0.06
88,1.0,0.04666666666666667
89,1.0,0.03333333333333333
90,1.0,0.02
91,1.0,0.006666666666666667
92,1.0,0.0
